standard_incidence_angles,standard_offsets,standard_refraction_angles,,,,materials-A_incidence_angles,materials-A_offsets,materials-A_refraction_angles,,,,materials-B_incidence_angles,materials-B_offsets,materials-B_refraction_angles,,,,materials-C_incidence_angles,materials-C_offsets,materials-C_refraction_angles,,,,thicks-A_incidence_angles,thicks-A_offsets,thicks-A_refraction_angles,,,,thicks-B_incidence_angles,thicks-B_offsets,thicks-B_refraction_angles,,,,thicks-C_incidence_angles,thicks-C_offsets,thicks-C_refraction_angles
50.90909091,0.005835688,35.70194441,,,,50.90909091,0.005709898,34.81927789,,,,50.90909091,0.005364944,32.44531555,,,,50.90909091,0.005040305,30.26701497,,,,50.90909091,0.058356877,35.70194441,,,,50.90909091,0.58356877,35.70194441,,,,50.90909091,5.835687701,35.70194441
51.81818182,0.005910174,36.22923675,,,,51.81818182,0.005782779,35.32950741,,,,51.81818182,0.005433422,32.91144491,,,,51.81818182,0.005104639,30.69473242,,,,51.81818182,0.059101736,36.22923675,,,,51.81818182,0.591017364,36.22923675,,,,51.81818182,5.910173645,36.22923675
52.72727273,0.005983172,36.7494689,,,,52.72727273,0.005854203,35.83268922,,,,52.72727273,0.005500531,33.37065691,,,,52.72727273,0.005167687,31.11575318,,,,52.72727273,0.059831717,36.7494689,,,,52.72727273,0.598317173,36.7494689,,,,52.72727273,5.983171733,36.7494689
53.63636364,0.006054664,37.26240819,,,,53.63636364,0.005924154,36.32860054,,,,53.63636364,0.005566256,33.82275531,,,,53.63636364,0.005229435,31.52990448,,,,53.63636364,0.060546636,37.26240819,,,,53.63636364,0.605466359,37.26240819,,,,53.63636364,6.05466359,37.26240819
54.54545455,0.006124631,37.76781659,,,,54.54545455,0.005992613,36.81701398,,,,54.54545455,0.00563058,34.26754104,,,,54.54545455,0.005289866,31.93701193,,,,54.54545455,0.061246312,37.76781659,,,,54.54545455,0.612463122,37.76781659,,,,54.54545455,6.124631218,37.76781659
55.45454545,0.006193057,38.26545074,,,,55.45454545,0.006059564,37.29769763,,,,55.45454545,0.005693486,34.70481229,,,,55.45454545,0.005348966,32.33689957,,,,55.45454545,0.06193057,38.26545074,,,,55.45454545,0.6193057,38.26545074,,,,55.45454545,6.193057003,38.26545074
56.36363636,0.006259924,38.75506204,,,,56.36363636,0.00612499,37.77041518,,,,56.36363636,0.005754959,35.13436468,,,,56.36363636,0.005406719,32.72939012,,,,56.36363636,0.062599237,38.75506204,,,,56.36363636,0.625992372,38.75506204,,,,56.36363636,6.259923719,38.75506204
57.27272727,0.006325215,39.23639675,,,,57.27272727,0.006188873,38.23492607,,,,57.27272727,0.005814983,35.55599141,,,,57.27272727,0.005463111,33.11430506,,,,57.27272727,0.063252145,39.23639675,,,,57.27272727,0.632521453,39.23639675,,,,57.27272727,6.325214533,39.23639675
58.18181818,0.006388913,39.70919618,,,,58.18181818,0.006251199,38.69098563,,,,58.18181818,0.005873543,35.96948347,,,,58.18181818,0.005518128,33.49146485,,,,58.18181818,0.06388913,39.70919618,,,,58.18181818,0.638891301,39.70919618,,,,58.18181818,6.388913007,39.70919618
59.09090909,0.006451003,40.17319684,,,,59.09090909,0.00631195,39.1383453,,,,59.09090909,0.005930624,36.37462983,,,,59.09090909,0.005571755,33.86068912,,,,59.09090909,0.064510031,40.17319684,,,,59.09090909,0.645100311,40.17319684,,,,59.09090909,6.451003107,40.17319684
